x,y,gz_obs
-1194.915254237288,-1000.0,0.0034572635364389257
-1194.915254237288,-948.7179487179487,0.006359155490168709
-1194.915254237288,-897.4358974358975,0.007764037339753876
-1194.915254237288,-846.1538461538462,0.008218646443125886
-1194.915254237288,-794.8717948717949,0.007182580010838237
-1194.915254237288,-743.5897435897436,0.006282172950729574
-1194.915254237288,-692.3076923076923,0.005336816270811931
-1194.915254237288,-641.025641025641,0.004696498329752608
-1194.915254237288,-589.7435897435897,0.004499331981071455
-1194.915254237288,-538.4615384615385,0.0035278039841522162
-1194.915254237288,-487.1794871794872,0.002611890339962064
-1194.915254237288,-435.8974358974359,0.002568480435049566
-1194.915254237288,-384.6153846153845,0.0023980476540559617
-1194.915254237288,-333.33333333333326,0.001818065115460767
-1194.915254237288,-282.051282051282,0.0009923732690335812
-1194.915254237288,-230.76923076923072,0.000935378328567577
-1194.915254237288,-179.48717948717945,0.0010758186428665472
-1194.915254237288,-128.20512820512818,0.0005261992748085088
-1194.915254237288,-76.9230769230769,0.0006560643404962142
-1194.915254237288,-25.641025641025635,0.0006733149848748536
-1194.915254237288,25.641025641025635,0.00033300207987337787
-1194.915254237288,76.9230769230769,0.000555395383654592
-1194.915254237288,128.20512820512818,1.9479699918444255e-05
-1194.915254237288,179.48717948717945,0.0006175588847623563
-1194.915254237288,230.76923076923094,0.0009817115128621884
-1194.915254237288,282.0512820512822,0.001046690625831415
-1194.915254237288,333.3333333333335,0.0019380543241368496
-1194.915254237288,384.61538461538476,0.001687588139061313
-1194.915254237288,435.897435897436,0.0022968991482992195
-1194.915254237288,487.1794871794873,0.002890215246286293
-1194.915254237288,538.4615384615386,0.0037350622997732374
-1194.915254237288,589.7435897435898,0.0038590687027793527
-1194.915254237288,641.0256410256411,0.0050597969266983605
-1194.915254237288,692.3076923076924,0.005433851945248073
-1194.915254237288,743.5897435897436,0.0061527714676882185
-1194.915254237288,794.8717948717949,0.007515059987102029
-1194.915254237288,846.1538461538462,0.008085307343406562
-1194.915254237288,897.4358974358975,0.007542996508526022
-1194.915254237288,948.7179487179487,0.006396063195460101
-1194.915254237288,1000.0,0.0035387049647531187
-1144.0677966101694,-1000.0,0.0036492756280491123
-1144.0677966101694,-948.7179487179487,0.00654221436701118
-1144.0677966101694,-897.4358974358975,0.008005528937158586
-1144.0677966101694,-846.1538461538462,0.00768788115177024
-1144.0677966101694,-794.8717948717949,0.007229405310492967
-1144.0677966101694,-743.5897435897436,0.005207607697009698
-1144.0677966101694,-692.3076923076923,0.0050238811670303436
-1144.0677966101694,-641.025641025641,0.004628545257599308
-1144.0677966101694,-589.7435897435897,0.0038686021462588137
-1144.0677966101694,-538.4615384615385,0.002981757521006639
-1144.0677966101694,-487.1794871794872,0.0024678465307453753
