X(m),Y(m),GravityAnomaly(mGal)
1.551724137931034647e+03,4.482758620689655800e+03,-2.962087768154677114e+00
1.551724137931034647e+03,4.655172413793103260e+03,-1.677765288939483623e+00
1.551724137931034647e+03,4.827586206896551630e+03,-1.334336406392397367e-01
1.551724137931034647e+03,5.000000000000000000e+03,-2.459289893057162169e-02
1.724137931034482790e+03,0.000000000000000000e+00,-1.145662408611529126e-01
1.724137931034482790e+03,1.724137931034482847e+02,-6.003016068497724067e-01
1.724137931034482790e+03,3.448275862068965694e+02,-2.281767483038037891e+00
1.724137931034482790e+03,5.172413793103448825e+02,-3.469817532848058050e+00
1.724137931034482790e+03,6.896551724137931387e+02,-4.520575487740350340e+00
1.724137931034482790e+03,8.620689655172413950e+02,-5.378375835932557969e+00
1.724137931034482790e+03,1.034482758620689765e+03,-6.067177574310205657e+00
1.724137931034482790e+03,1.206896551724137908e+03,-6.606482712148209480e+00
1.724137931034482790e+03,1.379310344827586277e+03,-7.002065150682402539e+00
1.724137931034482790e+03,1.551724137931034647e+03,-7.266587310727542715e+00
1.724137931034482790e+03,1.724137931034482790e+03,-7.575639958786479333e+00
1.724137931034482790e+03,1.896551724137931160e+03,-7.699725542733012240e+00
1.724137931034482790e+03,2.068965517241379530e+03,-7.807221030843452425e+00
1.724137931034482790e+03,2.241379310344827900e+03,-7.836363256403605426e+00
1.724137931034482790e+03,2.413793103448275815e+03,-7.854528282469506628e+00
1.724137931034482790e+03,2.586206896551724185e+03,-7.864544544190580133e+00
1.724137931034482790e+03,2.758620689655172555e+03,-7.895435766247872245e+00
1.724137931034482790e+03,2.931034482758620925e+03,-7.819884367685144611e+00
1.724137931034482790e+03,3.103448275862069295e+03,-7.721106548662641345e+00
1.724137931034482790e+03,3.275862068965517210e+03,-7.561102330766206414e+00
1.724137931034482790e+03,3.448275862068965580e+03,-7.328155861314620267e+00
1.724137931034482790e+03,3.620689655172413950e+03,-6.998133757612845507e+00
1.724137931034482790e+03,3.793103448275862320e+03,-6.598197562355844425e+00
1.724137931034482790e+03,3.965517241379310690e+03,-6.013369272629679685e+00
1.724137931034482790e+03,4.137931034482759060e+03,-5.390258919304012686e+00
1.724137931034482790e+03,4.310344827586207430e+03,-4.458031739717608133e+00
1.724137931034482790e+03,4.482758620689655800e+03,-3.497325431893865577e+00
1.724137931034482790e+03,4.655172413793103260e+03,-2.335044475352115345e+00
1.724137931034482790e+03,4.827586206896551630e+03,-5.552490230529263382e-01
1.724137931034482790e+03,5.000000000000000000e+03,-1.144864489681787917e-01
1.896551724137931160e+03,0.000000000000000000e+00,-1.652268379390176289e-01
1.896551724137931160e+03,1.724137931034482847e+02,-8.463244698813426892e-01
1.896551724137931160e+03,3.448275862068965694e+02,-2.649766115083429074e+00
1.896551724137931160e+03,5.172413793103448825e+02,-3.857989442602512309e+00
1.896551724137931160e+03,6.896551724137931387e+02,-4.860612566673007784e+00
1.896551724137931160e+03,8.620689655172413950e+02,-5.713516573431937751e+00
1.896551724137931160e+03,1.034482758620689765e+03,-6.350970792730596060e+00
1.896551724137931160e+03,1.206896551724137908e+03,-6.865875725869241109e+00
1.896551724137931160e+03,1.379310344827586277e+03,-7.262749836477811805e+00
1.896551724137931160e+03,1.551724137931034647e+03,-7.504293710727099054e+00
1.896551724137931160e+03,1.724137931034482790e+03,-7.679935687462962512e+00
1.896551724137931160e+03,1.896551724137931160e+03,-7.845282067068347409e+00
1.896551724137931160e+03,2.068965517241379530e+03,-7.899025141701051744e+00
1.896551724137931160e+03,2.241379310344827900e+03,-7.967463861114725709e+00
1.896551724137931160e+03,2.413793103448275815e+03,-7.962494722771503497e+00
1.896551724137931160e+03,2.586206896551724185e+03,-7.979749078707738086e+00
1.896551724137931160e+03,2.758620689655172555e+03,-7.978779362537750330e+00
1.896551724137931160e+03,2.931034482758620925e+03,-7.903879487436783258e+00
1.896551724137931160e+03,3.103448275862069295e+03,-7.835065950555200942e+00
1.896551724137931160e+03,3.275862068965517210e+03,-7.661885381393405581e+00
1.896551724137931160e+03,3.448275862068965580e+03,-7.528169848558723842e+00
1.896551724137931160e+03,3.620689655172413950e+03,-7.198570036975006303e+00
1.896551724137931160e+03,3.793103448275862320e+03,-6.888405050077594183e+00
1.896551724137931160e+03,3.965517241379310690e+03,-6.396691940610004679e+00
1.896551724137931160e+03,4.137931034482759060e+03,-5.725823731053065302e+00
1.896551724137931160e+03,4.310344827586207430e+03,-4.855455673640852510e+00
1.896551724137931160e+03,4.482758620689655800e+03,-3.836880875713403416e+00
1.896551724137931160e+03,4.655172413793103260e+03,-2.629400603866292485e+00
1.896551724137931160e+03,4.827586206896551630e+03,-8.974662913552142740e-01
1.896551724137931160e+03,5.000000000000000000e+03,-8.918110103329465743e-02
2.068965517241379530e+03,0.000000000000000000e+00,-8.731753593637973931e-02
2.068965517241379530e+03,1.724137931034482847e+02,-1.329669934364345441e+00
2.068965517241379530e+03,3.448275862068965694e+02,-2.919387242660088422e+00
2.068965517241379530e+03,5.172413793103448825e+02,-4.170058731816594033e+00
2.068965517241379530e+03,6.896551724137931387e+02,-5.135680710642805735e+00
2.068965517241379530e+03,8.620689655172413950e+02,-5.962051872392586382e+00
2.068965517241379530e+03,1.034482758620689765e+03,-6.574839041425200925e+00
2.068965517241379530e+03,1.206896551724137908e+03,-7.056265091813095580e+00
2.068965517241379530e+03,1.379310344827586277e+03,-7.438335691807394845e+00
2.068965517241379530e+03,1.551724137931034647e+03,-7.689356213707917220e+00
2.068965517241379530e+03,1.724137931034482790e+03,-7.802464522830116600e+00
2.068965517241379530e+03,1.896551724137931160e+03,-7.905106182246615099e+00
2.068965517241379530e+03,2.068965517241379530e+03,-7.969226641058718030e+00
2.068965517241379530e+03,2.241379310344827900e+03,-8.012568424249588261e+00
2.068965517241379530e+03,2.413793103448275815e+03,-8.028823870650748873e+00
